id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit
1963,1997-1998,Bihar,10,Purnia,214,Arhar/Tur,202.0,Pulses,Kharif,324.0,Hectare,420.0,Tonnes,1.296,Tonnes/Hectare
1964,1997-1998,Bihar,10,Purnia,214,Bajra,103.0,Cereals,Kharif,4.0,Hectare,2.0,Tonnes,0.5,Tonnes/Hectare
1965,1997-1998,Bihar,10,Purnia,214,Banana,606.0,Fruits,Whole Year,1683.0,Hectare,37363.0,Tonnes,22.2,Tonnes/Hectare
1966,1997-1998,Bihar,10,Purnia,214,Barley,107.0,Cereals,Rabi,55.0,Hectare,57.0,Tonnes,1.036,Tonnes/Hectare
1967,1997-1998,Bihar,10,Purnia,214,Coriander,509.0,Spices,Whole Year,81.0,Hectare,40.0,Tonnes,0.494,Tonnes/Hectare
1968,1997-1998,Bihar,10,Purnia,214,Dry Chillies,502.0,Spices,Whole Year,124.0,Hectare,118.0,Tonnes,0.952,Tonnes/Hectare
1969,1997-1998,Bihar,10,Purnia,214,Garlic,508.0,Spices,Whole Year,135.0,Hectare,180.0,Tonnes,1.333,Tonnes/Hectare
1970,1997-1998,Bihar,10,Purnia,214,Ginger,503.0,Spices,Kharif,21.0,Hectare,30.0,Tonnes,1.429,Tonnes/Hectare
1971,1997-1998,Bihar,10,Purnia,214,Gram,201.0,Pulses,Rabi,232.0,Hectare,92.0,Tonnes,0.397,Tonnes/Hectare
1972,1997-1998,Bihar,10,Purnia,214,Jute,1102.0,Fiber Crops,Kharif,26517.0,Hectare,250438.0,Tonnes,9.444,Tonnes/Hectare
1973,1997-1998,Bihar,10,Purnia,214,Linseed,1005.0,Oilseeds,Rabi,1252.0,Hectare,702.0,Tonnes,0.561,Tonnes/Hectare
1974,1997-1998,Bihar,10,Purnia,214,Maize,104.0,Cereals,Kharif,6900.0,Hectare,11375.0,Tonnes,1.649,Tonnes/Hectare
1975,1997-1998,Bihar,10,Purnia,214,Maize,104.0,Cereals,Rabi,8231.0,Hectare,22635.0,Tonnes,2.75,Tonnes/Hectare
1976,1997-1998,Bihar,10,Purnia,214,Maize,104.0,Cereals,Summer,15110.0,Hectare,37952.0,Tonnes,2.512,Tonnes/Hectare
1977,1997-1998,Bihar,10,Purnia,214,Maize,104.0,Cereals,Total,30241.0,Hectare,71962.0,Tonnes,2.38,Tonnes/Hectare
1978,1997-1998,Bihar,10,Purnia,214,Mesta,1103.0,Fiber Crops,Kharif,2465.0,Hectare,22555.0,Tonnes,9.15,Tonnes/Hectare
1979,1997-1998,Bihar,10,Purnia,214,Onion,708.0,Vegetable,Whole Year,438.0,Hectare,2497.0,Tonnes,5.701,Tonnes/Hectare
1980,1997-1998,Bihar,10,Purnia,214,Other Kharif Pulses,288.0,Pulses,Kharif,361.0,Hectare,202.0,Tonnes,0.56,Tonnes/Hectare
1981,1997-1998,Bihar,10,Purnia,214,Other Rabi Pulses,288.0,Pulses,Rabi,155.0,Hectare,93.0,Tonnes,0.6,Tonnes/Hectare
1982,1997-1998,Bihar,10,Purnia,214,Potato,701.0,Vegetable,Whole Year,7916.0,Hectare,55431.0,Tonnes,7.002,Tonnes/Hectare
1983,1997-1998,Bihar,10,Purnia,214,Ragi,105.0,Cereals,Whole Year,112.0,Hectare,97.0,Tonnes,0.866,Tonnes/Hectare
1984,1997-1998,Bihar,10,Purnia,214,Rapeseed &Mustard,1004.0,Oilseeds,Rabi,4476.0,Hectare,2927.0,Tonnes,0.654,Tonnes/Hectare
1985,1997-1998,Bihar,10,Purnia,214,Rice,101.0,Cereals,Autumn,19065.0,Hectare,23419.0,Tonnes,1.228,Tonnes/Hectare
1986,1997-1998,Bihar,10,Purnia,214,Rice,101.0,Cereals,Summer,18502.0,Hectare,40311.0,Tonnes,2.179,Tonnes/Hectare
1987,1997-1998,Bihar,10,Purnia,214,Rice,101.0,Cereals,Total,129577.0,Hectare,163678.0,Tonnes,1.263,Tonnes/Hectare
